;2+;;;;3+;;;;4+;;;
FERTILITY;Base;+H;+S&H;;Base;+H;+S&H;;Base;+S;+S&H 
Pre-Twins 
Fertility;0.006;-0.026;-0.026;;-0.004;-0.036;-0.038*;;-0.017;-0.036;-0.035*
;(0.029);(0.027);(0.026);;(0.024);(0.022);(0.021);;(0.025);(0.023);(0.021)

Observations;249536;249536;249536;;375987;375987;375987;;385389;385389;385389
Low-Income 
Fertility;0.035;0.008;0.012;;0.016;-0.016;-0.027;;-0.011;-0.031;-0.024
;(0.034);(0.032);(0.031);;(0.030);(0.028);(0.026);;(0.029);(0.027);(0.025)

Observations;149602;149602;149602;;232371;232371;232371;;246622;246622;246622
Middle-Income 
Fertility;-0.065;-0.087*;-0.093**;;-0.046;-0.079**;-0.067*;;-0.027;-0.048;-0.054
;(0.053);(0.049);(0.047);;(0.040);(0.036);(0.035);;(0.043);(0.040);(0.037)

Observations;99934;99934;99934;;143616;143616;143616;;138767;138767;138767
Adjusted Fertility 
Fertility;0.017;-0.052;-0.055;;-0.013;-0.073*;-0.077*;;-0.033;-0.068;-0.066*
;(0.065);(0.056);(0.054);;(0.047);(0.043);(0.040);;(0.045);(0.042);(0.039)

Observations;249505;249505;249505;;375957;375957;375957;;385363;385363;385363
Twins and Pre-Twins 
Fertility;-0.021;-0.073***;-0.078***;;-0.019;-0.062***;-0.067***;;-0.018;-0.039**;-0.046**
;(0.024);(0.021);(0.020);;(0.020);(0.018);(0.018);;(0.021);(0.019);(0.018)

Observations;488815;488815;488815;;563177;563177;563177;;523197;523197;523197

NOTES: The two plus subsample refers to all first born children in families with at least two births.  Three plus refers to first- and second-borns in families with at least three births, and four plus refers to first- to third-borns in families with at least four births.  Each cell presents the coefficient of a 2SLS regression where fertility is instrumented by twinning at birth order two, three or four (for 2+, 3+ and 4+ respectively).  Base controls include child age, mother's age, and mother's age at birth fixed effects plus country and year-of-birth FEs.  In each case the sample is made up of all children aged between 6-18 years from families in the DHS who fulfill 2+ to 4+ requirements. First-stage results in the final panel correspond to the second stage in row 1. Full first stage results for each row are available in table 15. Standard errors are clustered by mother.* p<0.1, ** p<0.05, *** p<0.01 
